tech,workgroup,product_family,contract,title,script_name,sr_severity,sr_id,feature,theater,tech_dnac,subtech,company,_id,time,report_date
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA Fabric multicast not working,sda_new_case_1,2,685984679,SDA,EMEA,,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5c403d71f8ffff00185efd40,2019-01-17T08:31:45.098Z,2019-01-17
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA upgrade 1.1.7 to 1.2.6 issue,sda_new_case_1,3,685846444,SDA,AMER,,Appliance_sd_access,THE_ROYAL_BANK_OF_SCOTLAND_PLC,5c1a4049891e1f001f8eba95,2018-12-19T12:57:45.225Z,2018-12-19T00:00:00.000Z
DNA___Software_Defined_Access,NULL,C9500,200804859,SDA Lisp Update Issues,sda_new_case_1,3,684991230,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,OAKLAND_COUNTY,5b6b261ca6251f001c62a06c,2018-08-08T17:19:24.767Z,2018-08-08
DNA___Software_Defined_Access,NULL,NULL,NULL,staging dnac/sda,sda_new_case_1,3,684691653,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5b2be40ef9e46f001bff2e43,2018-06-21T17:44:46.489Z,2018-06-21
DNA___Software_Defined_Access,NULL,NULL,NULL,Routing Issues with SDA Overlay,sda_new_case_1,2,685622474,SDA,AMER,,Appliance_sd_access,CISCO_SYSTEMS_INC_FOR_US_INTERNAL_DEMO_EVAL_ONLY,5beb560c9355550023454c6d,2018-11-13T22:54:04.726Z,2018-11-13
DNA___Software_Defined_Access,NULL,NULL,NULL,Telepresence/Voice  devices Vlan tagging  with SDA,sda_new_case_1,3,685704241,SDA,AMER,,Appliance_sd_access,DIMENSION_DATA_CANADA__INC.,5bfd97d914215a00162bca77,2018-11-27T19:15:37.478Z,2018-11-27
DNA___Software_Defined_Access,NULL,NULL,NULL,Can't bring up SDA device,sda_new_case_1,3,685393561,SDA,AMER,,Appliance_sd_access,CISCO_APAC,5bbd1992af1fd5001533f144,2018-10-09T21:11:46.940Z,2018-10-09
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA Clients Not Able To DHCP,sda_new_case_1,3,685479210,SDA,AMER,,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5bce3f42413f380014b8e4d9,2018-10-22T21:21:06.808Z,2018-10-22
DNA___Software_Defined_Access,NULL,C9500,200804859,SDA L2 Handoff Configuration Issue,sda_new_case_1,3,686023107,SDA,AMER,,Appliance_sd_access,OAKLAND_COUNTY,5c48ad939d53020014b83f83,2019-01-23T18:08:19.766Z,2019-01-23
DNA___Software_Defined_Access,NULL,SDNMGMT,201534645,SDA Border node connectivity to corporate network,sda_new_case_1,3,685001028,SDA,AMER,,Appliance_sd_access,ILLUMINA,5b6c88ad9abacb00138e76c6,2018-08-09T18:32:13.641Z,2018-08-09
DNA___Software_Defined_Access,NULL,SDNMGMT,201560140,SDA DHCP Problem,sda_new_case_1,3,685078060,SDA,EMEA,,Appliance_sd_access,OPASNET,5b7d4e7c3967930013bf8a93,2018-08-22T11:52:28.520Z,2018-08-22
DNA___Software_Defined_Access,NULL,C9400,200786383,SDA Network Perfomance Issue,sda_new_case_1,2,685136449,SDA,AMER,,Appliance_sd_access,NEW_YORK_CITY_HEALTH_AND_HOSPITALS,5b8859da3ee422001b484759,2018-08-30T20:55:54.014Z,2018-08-30
DNA___Software_Defined_Access,NULL,C3650,200671833,DNAC wit SDA Solution,sda_new_case_1,,683773412,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,TATA_CONSULTANCY_SERVICES_LTD,5a5cd5a416bde600166a580e,2018-01-15T16:24:04.708Z,
DNA___Software_Defined_Access,NULL,NULL,NULL,[Amore Pacific] SDA Deployment proactive support,,,683581793,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,CISCO,5a6e8544107f9b01febaf1b8,2017-12-07T13:12:06.727Z,
DNA___Software_Defined_Access,NULL,SDNMGMT,201346732,KB Securities: Posture 'Unknown' Redirect issue in SDA,sda_new_case_1,3,684404310,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,KB_SECURITIES,5ae746dd7246ac001e7dbf13,2018-04-30T16:39:57.370Z,2018-04-30
DNA___Software_Defined_Access,NULL,C9500,200627590,[SDA] - DNAC VN segementation not working -SS,sda_new_case_1,3,684735216,SDA,APAC,DNA_Software_Defined_Access,Appliance_sd_access,Shanghai_General_Motors_Company_Limited,5b35b6b824bfd500199e7606,2018-06-29T04:34:00.313Z,2018-06-29
DNA___Software_Defined_Access,NULL,C3750X,91986130,Unable to register SDA devices licenses,sda_new_case_1,3,685971339,SDA,AMER,,Appliance_sd_access,BRP_BOMBARDIER_RECREATIONAL_PRODUCTS,5c3e1bba57d8dc002eff4aad,2019-01-15T17:43:22.705Z,2019-01-15
DNA___Software_Defined_Access,NULL,C9300,201252187,SDA - Fabric issue,sda_new_case_1,3,684214130,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,PIEDMONT_HEALTHCARE,5aba5130d4c1c700195bf870,2018-03-27T14:12:00.234Z,2018-03-27
DNA___Software_Defined_Access,NULL,C9300,201252187,SDA Network extremely slow,sda_new_case_1,3,685114085,SDA,AMER,,Appliance_sd_access,PIEDMONT_HEALTHCARE,5b855641c20240001ef71fb9,2018-08-28T14:03:45.800Z,2018-08-28
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA Geo Map is not loading,sda_new_case_1,3,686030820,SDA,AMER,,Appliance_sd_access,THE_ROYAL_BANK_OF_SCOTLAND_PLC,5c49e49dd2a251001bbcb57c,2019-01-24T16:15:25.904Z,2019-01-24
DNA___Software_Defined_Access,NULL,SDNMGMT,200908591,SDA Automation issue,sda_new_case_1,3,685228562,SDA,EMEA,,Appliance_sd_access,S_NET_SYSTEMS_INC,5b9b7005c225190013ac284b,2018-09-14T08:23:33.515Z,2018-09-14
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA DNA Cisco Test DLS,sda_new_case_1,,683815869,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5a66009ffac4f90023cded90,2018-01-22T15:17:51.079Z,
DNA___Software_Defined_Access,NULL,ASR920,95796064,troubleshoot connectivity from external domain in SDA fabric to internet (defaul,sda_new_case_1,,683834831,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,ASTRAZENECA_PHARMACEUTICALS___CISCO,5a68c2abfd996d001849e64b,2018-01-24T17:30:19.225Z,
